"månad","institut","120 Summa tillgångar","103 Utlåning, Totalt","220 Summa skulder inkl. eget kapital","201 In-/upplåning, Totalt","203 Emitterade värdepapper","2035 Säkerställda obligationer, Emitterade"
"2019M01","Swedbank AB (Publ)",1722355,1035698,1722355,982726,409535,0
"2019M01","Svenska Handelsbanken AB (Publ)",2158699,1565178,2158699,1175994,735250,0
"2019M02","Skandinaviska Enskilda Banken AB (Publ)",2468265,1606215,2468265,1247346,792677,349148
"2019M02","Swedbank AB (Publ)",1718112,1050338,1718112,1023290,388920,0
"2019M02","Svenska Handelsbanken AB (Publ)",2204731,1580411,2204731,1182736,769100,0
"2019M03","Skandinaviska Enskilda Banken AB (Publ)",2445214,1644595,2445214,1215111,780268,344259
"2019M03","Swedbank AB (Publ)",1595112,1042503,1595112,898270,372997,0
"2019M03","Svenska Handelsbanken AB (Publ)",2232123,1560542,2232123,1209166,764391,0
"2019M04","Skandinaviska Enskilda Banken AB (Publ)",2419075,1660595,2419075,1191063,801396,352249
"2019M04","Swedbank AB (Publ)",1641430,1063378,1641430,933240,359847,0
"2019M04","Svenska Handelsbanken AB (Publ)",2225647,1572676,2225647,1209371,765255,0
"2019M05","Skandinaviska Enskilda Banken AB (Publ)",2427068,1694295,2427068,1175857,806470,356329
"2019M05","Swedbank AB (Publ)",1618374,1007812,1618374,921068,356212,0
"2019M05","Svenska Handelsbanken AB (Publ)",2216778,1562724,2216778,1225317,739700,0
"2019M06","Skandinaviska Enskilda Banken AB (Publ)",2467490,1723674,2467490,1220537,805374,325559
"2019M06","Swedbank AB (Publ)",1583243,995527,1583243,907605,333341,0
"2019M06","Svenska Handelsbanken AB (Publ)",2141328,1530325,2141328,1192587,693641,0
"2019M07","Skandinaviska Enskilda Banken AB (Publ)",2466243,1710094,2466243,1208870,810536,326641
"2019M07","Swedbank AB (Publ)",1606961,990022,1606961,921837,320057,0
"2019M07","Svenska Handelsbanken AB (Publ)",2208464,1572742,2208464,1230086,723422,0
"2019M08","Skandinaviska Enskilda Banken AB (Publ)",2539303,1732056,2539303,1188934,857508,334151
"2019M08","Swedbank AB (Publ)",1701014,994500,1701014,963381,344350,0
"2019M08","Svenska Handelsbanken AB (Publ)",2281673,1577943,2281673,1258595,747772,0
"2019M09","Skandinaviska Enskilda Banken AB (Publ)",2585479,1730687,2585479,1228333,879001,345647
"2019M09","Swedbank AB (Publ)",1583322,957486,1583322,901095,316251,0
"2019M09","Svenska Handelsbanken AB (Publ)",2243441,1589486,2243441,1257384,727637,0
"2019M10","Skandinaviska Enskilda Banken AB (Publ)",2587028,1737396,2587028,1205660,924238,352807
"2019M10","Swedbank AB (Publ)",1638044,997297,1638044,976594,314917,0
"2019M10","Svenska Handelsbanken AB (Publ)",2313462,1601475,2313462,1327280,740747,0
"2019M11","Skandinaviska Enskilda Banken AB (Publ)",2578214,1759023,2578214,1246339,897920,356930
"2019M11","Swedbank AB (Publ)",1590819,977708,1590819,952019,292007,0
"2019M11","Svenska Handelsbanken AB (Publ)",2256733,1561453,2256733,1287218,733045,0
"2019M12","Skandinaviska Enskilda Banken AB (Publ)",2400003,1752270,2400003,1134246,848522,357290
"2019M12","Swedbank AB (Publ)",1544201,1030218,1544201,922727,273748,0
"2019M12","Svenska Handelsbanken AB (Publ)",2112493,1527133,2112493,1140142,723237,0
"2020M01","Skandinaviska Enskilda Banken AB (Publ)",2634735,1773732,2634735,1272199,939227,363801
"2020M01","Swedbank AB (Publ)",1669999,1024948,1669999,992375,309915,0
"2020M01","Svenska Handelsbanken AB (Publ)",2408584,1585720,2408584,1371827,781390,0
"2020M02","Skandinaviska Enskilda Banken AB (Publ)",2612595,1779173,2612595,1241110,931048,361029
"2020M02","Swedbank AB (Publ)",1788886,1032718,1788886,1053945,356442,0
"2020M02","Svenska Handelsbanken AB (Publ)",2431614,1562333,2431614,1366264,797072,0
"2020M03","Skandinaviska Enskilda Banken AB (Publ)",2862976,1813855,2862976,1398672,896856,365457
"2020M03","Swedbank AB (Publ)",1942643,1079721,1942643,1126752,316103,0
"2020M03","Svenska Handelsbanken AB (Publ)",2643994,1603599,2643994,1509457,785046,0
"2020M04","Skandinaviska Enskilda Banken AB (Publ)",2792756,1794828,2792756,1421481,876008,368187
"2020M04","Swedbank AB (Publ)",1852694,1097094,1852694,1170687,310172,0
"2020M04","Svenska Handelsbanken AB (Publ)",2511400,1597708,2511400,1465178,785315,0
"2020M05","Skandinaviska Enskilda Banken AB (Publ)",2762618,1795457,2762618,1455571,807849,367565
"2020M05","Swedbank AB (Publ)",1919740,1158886,1919740,1196434,332234,0
"2020M05","Svenska Handelsbanken AB (Publ)",2434948,1627276,2434948,1452939,720941,0
"2020M06","Skandinaviska Enskilda Banken AB (Publ)",2772107,1802066,2772107,1484074,770817,332256
"2020M06","Swedbank AB (Publ)",2080114,1168232,2080114,1194263,335690,0
"2020M06","Svenska Handelsbanken AB (Publ)",2566777,1620456,2566777,1497418,739758,0
"2020M07","Skandinaviska Enskilda Banken AB (Publ)",2670582,1784742,2670582,1429356,736430,329126
"2020M07","Swedbank AB (Publ)",1868321,1104810,1868321,1190768,304857,0
"2020M07","Svenska Handelsbanken AB (Publ)",2326994,1612662,2326994,1389523,670773,0
"2020M08","Skandinaviska Enskilda Banken AB (Publ)",2705118,1780749,2705118,1451826,758252,332760
"2020M08","Swedbank AB (Publ)",1891317,1160354,1891317,1208394,294675,0
"2020M08","Svenska Handelsbanken AB (Publ)",2326659,1621219,2326659,1389015,670069,0
"2020M09","Skandinaviska Enskilda Banken AB (Publ)",2747622,1782642,2747622,1484661,815105,338813
"2020M09","Swedbank AB (Publ)",1857652,1123968,1857652,1190796,308345,0
"2020M09","Svenska Handelsbanken AB (Publ)",2352406,1565150,2352406,1390851,692318,0
"2020M10","Skandinaviska Enskilda Banken AB (Publ)",2668988,1755150,2668988,1474556,770418,334319
"2020M10","Swedbank AB (Publ)",1865405,1112849,1865405,1207042,313192,0
"2020M10","Svenska Handelsbanken AB (Publ)",2301845,1543576,2301845,1369926,663506,0
"2020M11","Skandinaviska Enskilda Banken AB (Publ)",2668372,1755670,2668372,1470169,730563,321731
"2020M11","Swedbank AB (Publ)",1852869,1155098,1852869,1191899,291507,0
"2020M11","Svenska Handelsbanken AB (Publ)",2299597,1545352,2299597,1362516,673266,0
"2020M12","Skandinaviska Enskilda Banken AB (Publ)",2601188,1710079,2601188,1371628,741663,324135
"2020M12","Swedbank AB (Publ)",1772875,1155467,1772875,1149122,270072,0
"2020M12","Svenska Handelsbanken AB (Publ)",2154862,1531720,2154862,1222452,656765,0
"2021M01","Skandinaviska Enskilda Banken AB (Publ)",2826177,1796016,2826177,1659107,781100,330948
"2021M01","Swedbank AB (Publ)",1923899,1136360,1923899,1229892,340015,0
"2021M01","Svenska Handelsbanken AB (Publ)",2389498,1604520,2389498,1431859,680695,0
"2021M02","Skandinaviska Enskilda Banken AB (Publ)",2907508,1807980,2907508,1747087,779256,322291
"2021M02","Swedbank AB (Publ)",1960566,1151474,1960566,1247964,346075,0
"2021M02","Svenska Handelsbanken AB (Publ)",2491069,1595989,2491069,1492682,726556,0
"2021M03","Skandinaviska Enskilda Banken AB (Publ)",2961720,1806202,2961720,1725396,825101,324703
"2021M03","Swedbank AB (Publ)",1954165,1139211,1954165,1203928,388256,0
"2021M03","Svenska Handelsbanken AB (Publ)",2461019,1586659,2461019,1470950,738804,0
"2021M04","Skandinaviska Enskilda Banken AB (Publ)",2981737,1807770,2981737,1758321,844218,317909
"2021M04","Swedbank AB (Publ)",1878524,1095504,1878524,1152852,369802,0
"2021M04","Svenska Handelsbanken AB (Publ)",2504728,1614712,2504728,1524703,728615,0
